Module|PgmName|PgmSeq|PgmLines|GO|ALTER|CALL|PERFORM|EVALUATE|WHEN|CONTINUE|IF|ELSE|GOBACK|STOP|CHAIN|OPEN|READ|WRITE|REWRITE|CLOSE|COMMIT|CANCEL|DELETE|MERGE|SORT|RETURN|NEXT|COMPUTE|ADD|SUBTRACT|MULTIPLY|DIVIDE|MOVE|DISABLE|DISPLAY|ENABLE|END|END-EVALUATE|END-IF|END-INVOKE|END-PERFORM|END-SET|ENTER|ENTRY|EXAMINE|EXEC|EXECUTE|EXHIBIT|EXIT|GENERATE|INITIALIZE|INITIATE|INSPECT|INVOKE|NOTE|OTHERWISE|READY|RECEIVE|RECOVER|RELEASE|RESET|ROLLBACK|SEARCH|SEND|SERVICE|SET|START|STRING|SUPPRESS|TERMINATE|TRANSFORM|UNLOCK|UNSTRING|Sourced From
ENGINE|ENGINE|1|3952|85|0|125|769|175|750|36|868|218|0|96|0|19|6|166|0|12|0|0|0|0|0|1|0|242|351|65|1|12|2578|0|342|0|15|175|868|0|79|0|0|0|0|0|0|0|28|0|0|0|8|0|0|0|0|0|0|0|0|0|0|0|0|405|2|25|0|0|0|0|0|C:\Users\906074897\Documents\All Projects\State of Illinois\VS Projects\ParseCOB\ENGINE.cbl
ENGINE|SHOWLOCATION|2|16|0|0|0|1|0|0|0|5|2|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|1|6|0|1|0|1|0|5|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|C:\Users\906074897\Documents\All Projects\State of Illinois\VS Projects\ParseCOB\ENGINE.cbl
ENGINE|LOAD-OPTIONS|3|585|1|0|10|93|11|100|5|137|63|3|19|0|1|2|0|0|1|0|0|0|0|0|0|0|8|4|1|1|0|161|0|133|0|3|11|135|0|9|0|0|2|0|0|0|0|0|0|0|0|6|0|0|0|0|0|0|0|0|0|0|0|0|112|0|1|0|0|0|0|2|C:\Users\906074897\Documents\All Projects\State of Illinois\VS Projects\ParseCOB\ENGINE.cbl
ENGINE|HKSYS|4|475|0|0|2|25|1|6|1|18|8|1|0|0|0|0|24|0|0|0|0|0|0|0|0|0|14|9|2|0|0|192|0|26|0|1|1|17|0|8|0|0|0|0|0|0|0|0|0|1|0|6|0|0|0|0|0|0|0|0|0|0|0|0|64|0|0|0|0|0|0|0|C:\Users\906074897\Documents\All Projects\State of Illinois\VS Projects\ParseCOB\ENGINE.cbl
ENGINE|EXECFORM|5|967|0|0|2|83|17|126|0|94|42|3|1|0|0|0|0|0|0|0|0|0|0|0|0|0|16|7|0|0|3|364|0|6|0|1|17|94|0|30|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|111|0|0|0|0|0|0|0|C:\Users\906074897\Documents\All Projects\State of Illinois\VS Projects\ParseCOB\ENGINE.cbl
ENGINE|SUMDLL|6|338|2|0|7|19|4|19|1|40|3|5|2|0|1|1|0|0|1|0|0|0|0|0|0|0|8|14|0|0|0|86|0|16|0|3|4|40|0|8|0|0|0|0|0|0|0|0|0|0|0|5|0|0|0|0|0|0|0|0|0|0|0|0|4|0|0|0|0|0|0|0|C:\Users\906074897\Documents\All Projects\State of Illinois\VS Projects\ParseCOB\ENGINE.cbl
ENGINE|LOADDLL|7|1389|190|0|38|256|58|270|6|464|96|3|19|0|3|1|2|0|2|0|0|0|0|0|0|0|91|83|6|0|35|935|0|97|0|14|58|464|0|72|0|0|3|0|0|0|0|5|0|1|0|46|0|0|0|0|0|0|0|0|0|5|0|0|240|8|14|0|0|0|0|0|C:\Users\906074897\Documents\All Projects\State of Illinois\VS Projects\ParseCOB\ENGINE.cbl
ENGINE|PARSEMATH|8|21|0|0|0|0|2|6|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|0|0|0|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|1|C:\Users\906074897\Documents\All Projects\State of Illinois\VS Projects\ParseCOB\ENGINE.cbl
ENGINE|DAR|9|2037|9|0|21|194|49|235|1|338|86|1|15|0|4|0|158|0|3|0|0|0|0|0|0|0|127|90|5|0|2|848|0|62|0|6|49|338|0|33|0|0|0|0|0|0|0|5|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|173|0|6|0|0|0|0|0|C:\Users\906074897\Documents\All Projects\State of Illinois\VS Projects\ParseCOB\ENGINE.cbl
ENGINE|RATIFY|10|398|0|0|10|4|5|51|1|16|8|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|3|10|0|0|0|56|0|2|0|1|5|16|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|0|0|0|0|0|0|0|C:\Users\906074897\Documents\All Projects\State of Illinois\VS Projects\ParseCOB\ENGINE.cbl
